Liberty[37.3492° N, 79.1784° W]
Lindenwood[38.7860° N, 90.4975° W]
Lipscomb[36.1046° N, 86.7989° W]
Little-Rock[34.7253° N, 92.3379° W]
Long-Beach-State[33.7838° N, 118.1141° W]
Long-Island[40.6911° N, 73.9806° W]
Longwood[37.2972° N, 78.3962° W]
Louisiana-Tech[32.5300° N, 92.6522° W]
Louisiana[30.2120° N, 92.0199° W]
Louisville[38.2123° N, 85.7585° W]
Loyola-Chicago[41.9989° N, 87.6583° W]
Loyola-Maryland[39.3477° N, 76.6172° W]
Loyola-Marymount[33.9710° N, 118.4170° W]
LSU[30.4133° N, 91.1800° W]
Maine[44.9019° N, 68.6688° W]
Manhattan[40.8901° N, 73.9011° W]
Marist[41.7231° N, 73.9345° W]
Marquette[43.0387° N, 87.9310° W]
Marshall[38.4237° N, 82.4247° W]
Maryland-Eastern-Shore[38.2102° N, 75.6848° W]
Maryland[38.9869° N, 76.9426° W]
McNeese[30.1777° N, 93.2152° W]
Memphis[35.1187° N, 89.9375° W]
Mercer[32.8285° N, 83.6497° W]
Mercyhurst[42.1033° N, 80.0531° W]
Merrimack[42.6674° N, 71.1235° W]
Miami-FL[25.7174° N, 80.2781° W]
Miami-OH[39.5087° N, 84.7345° W]
Michigan-State[42.7018° N, 84.4822° W]
Michigan[42.2771° N, 83.7382° W]
Middle-Tennessee[35.8486° N, 86.3669° W]
Milwaukee[43.0783° N, 87.8820° W]
Minnesota[44.9740° N, 93.2277° W]
Mississippi-State[33.4552° N, 88.7944° W]
Mississippi-Valley-State[33.5127° N, 90.3417° W]
Missouri-State[37.2006° N, 93.2807° W]
Missouri[38.9404° N, 92.3277° W]
Monmouth[40.2803° N, 74.0054° W]
Montana-State[45.6674° N, 111.0546° W]
Montana[46.8619° N, 113.9846° W]
Morehead-State[38.1894° N, 83.4310° W]
Morgan-State[39.3438° N, 76.5844° W]
Mount-Saint-Marys[39.6800° N, 77.3487° W]
Murray-State[36.6163° N, 88.3209° W]
Navy[38.9821° N, 76.4839° W]
Nebraska[40.8202° N, 96.7005° W]
Nevada[39.5437° N, 119.8142° W]
New-Hampshire[43.1389° N, 70.9370° W]
New-Mexico-State[32.2793° N, 106.7491° W]
New-Mexico[35.0843° N, 106.6198° W]
New-Orleans[30.0273° N, 90.0680° W]
Niagara[43.1370° N, 79.0350° W]
Nicholls[29.7903° N, 90.8029° W]
NJIT[40.7423° N, 74.1793° W]
Norfolk-State[36.8479° N, 76.2621° W]
North-Alabama[34.8078° N, 87.6805° W]
North-Carolina-AT[36.0770° N, 79.7718° W]
North-Carolina-Central[35.9752° N, 78.8997° W]
North-Carolina-State[35.7851° N, 78.6813° W]
North-Carolina[35.9049° N, 79.0469° W]
North-Dakota-State[46.8978° N, 96.8024° W]
North-Dakota[47.9229° N, 97.0768° W]
North-Florida[30.2661° N, 81.5072° W]
North-Texas[33.2075° N, 97.1526° W]
Northeastern[42.3399° N, 71.0899° W]
Northern-Arizona[35.1803° N, 111.6540° W]
Northern-Colorado[40.4063° N, 104.6945° W]
Northern-Illinois[41.9351° N, 88.7734° W]
Northern-Iowa[42.5122° N, 92.4646° W]
Northern-Kentucky[39.0312° N, 84.4625° W]
Northwestern-State[31.7490° N, 93.0979° W]
Northwestern[42.0565° N, 87.6753° W]
Notre-Dame[41.7051° N, 86.2355° W]
Oakland[42.6679° N, 83.2082° W]
Ohio-State[40.0067° N, 83.0305° W]
Ohio[39.3244° N, 82.1014° W]
Oklahoma-State[36.1270° N, 97.0737° W]
Oklahoma[35.1987° N, 97.4449° W]
Old-Dominion[36.8853° N, 76.3059° W]
Ole-Miss[34.3647° N, 89.5384° W]
Omaha[41.2580° N, 96.0107° W]
Oral-Roberts[36.0508° N, 95.9528° W]
Oregon-State[44.5638° N, 123.2794° W]
Oregon[44.0448° N, 123.0726° W]
Pacific[45.5243° N, 123.1103° W]
Penn-State[40.7982° N, 77.8599° W]
Penn[39.9522° N, 75.1932° W]
Pepperdine[34.0414° N, 118.7096° W]
Pittsburgh[40.4444° N, 79.9608° W]
Portland-State[45.5111° N, 122.6833° W]
Portland[45.5732° N, 122.7276° W]
Prairie-View-AM[30.0955° N, 95.9907° W]
Presbyterian-College[34.4652° N, 81.8776° W]
Princeton[40.3431° N, 74.6551° W]
Providence[41.8440° N, 71.4347° W]
Purdue-Fort-Wayne[41.1185° N, 85.1059° W]
Purdue[40.4237° N, 86.9212° W]
Queens[35.1886° N, 80.8330° W]
Quinnipiac[41.4189° N, 72.8936° W]
Radford[37.1375° N, 80.5502° W]
Rhode-Island[41.4862° N, 71.5307° W]
Rice[29.7174° N, 95.4018° W]
Richmond[37.5758° N, 77.5397° W]
Rider[40.2812° N, 74.7408° W]
Robert-Morris[40.5213° N, 80.2127° W]
Rutgers[40.5008° N, 74.4474° W]
Sacramento-State[38.5648° N, 121.4276° W]
Sacred-Heart[41.2206° N, 73.2424° W]
Saint-Bonaventure[42.0786° N, 78.4829° W]
Saint-Francis-NY[40.6901° N, 73.9865° W]
Saint-Francis-PA[40.5038° N, 78.6376° W]
Saint-Johns[40.7202° N, 73.7979° W]
Saint-Josephs[39.9951° N, 75.2399° W]
Saint-Louis[38.6348° N, 90.2336° W]
Saint-Marys-College[37.8409° N, 122.1089° W]
Saint-Peters[40.7269° N, 74.0700° W]
Saint-Thomas[44.9431° N, 93.1897° W]
Sam-Houston-State[30.7136° N, 95.5473° W]
Samford[33.4649° N, 86.7913° W]
San-Diego-State[32.7774° N, 117.0714° W]
San-Diego[32.7722° N, 117.1889° W]
San-Francisco[37.7766° N, 122.4507° W]
San-Jose-State[37.3352° N, 121.8811° W]
Santa-Clara[37.3489° N, 121.9368° W]
Seattle-University[47.6092° N, 122.3178° W]
Seton-Hall[40.7431° N, 74.2461° W]
Siena[42.7189° N, 73.7513° W]
SIUE[38.7951° N, 89.9997° W]
SMU[32.8412° N, 96.7845° W]
South-Alabama[30.6959° N, 88.1842° W]
South-Carolina-State[33.4982° N, 80.8493° W]
South-Carolina-Upstate[34.9996° N, 81.9712° W]
South-Carolina[33.9938° N, 81.0299° W]
South-Dakota-State[44.3191° N, 96.7835° W]
South-Dakota[43.9695° N, 99.9018° W]
South-Florida[28.0587° N, 82.4139° W]
Southeast-Missouri[37.3149° N, 89.5280° W]
Southeastern-Louisiana[30.5179° N, 90.4711° W]
Southern-Illinois[37.7080° N, 89.2230° W]
Southern-Indiana[37.9634° N, 87.6727° W]
Southern-Miss[31.3299° N, 89.3335° W]
Southern-Utah[37.6764° N, 113.0713° W]
Southern[30.5265° N, 91.1929° W]
Stanford[37.4275° N, 122.1697° W]
Stephen-F-Austin[31.6216° N, 94.6466° W]
Stetson[29.0335° N, 81.3009° W]
Stonehill[42.0581° N, 71.0809° W]
Stony-Brook[40.9081° N, 73.1204° W]
Syracuse[43.0387° N, 76.1337° W]
Tarleton-State[32.2160° N, 98.2160° W]
TCU[32.7079° N, 97.3628° W]
Temple[39.9812° N, 75.1554° W]
Tennessee-Martin[36.3430° N, 88.8643° W]
Tennessee-State[36.1684° N, 86.8259° W]
Tennessee-Tech[36.1763° N, 85.5091° W]
Tennessee[35.9544° N, 83.9295° W]
Texas-AM-Commerce[33.2407° N, 95.9104° W]
Texas-AM-Corpus-Christi[27.7123° N, 97.3246° W]
Texas-AM[30.6187° N, 96.3365° W]
Texas-Southern[29.7214° N, 95.3593° W]
Texas-State[29.8884° N, 97.9384° W]
Texas-Tech[33.5846° N, 101.8746° W]
Texas[30.2849° N, 97.7341° W]
The-Citadel[32.7973° N, 79.9597° W]
Toledo[41.6579° N, 83.6142° W]
Towson[39.3925° N, 76.6126° W]
Troy[31.8026° N, 85.9572° W]
Tulane[29.9407° N, 90.1203° W]
Tulsa[36.1521° N, 95.9461° W]
UAB[33.5020° N, 86.8057° W]
UC-Davis[38.5382° N, 121.7617° W]
UC-Irvine[33.6424° N, 117.8417° W]
UC-Riverside[33.9737° N, 117.3281° W]
UC-San-Diego[32.8801° N, 117.2340° W]
UC-Santa-Barbara[34.4140° N, 119.8489° W]
UCF[28.6024° N, 81.2001° W]
UCLA[34.0699° N, 118.4438° W]
UIC[41.8686° N, 87.6484° W]
ULM[32.5313° N, 92.0687° W]
UMass-Lowell[42.6553° N, 71.3247° W]
UMass[42.3868° N, 72.5301° W]
UMBC[39.2554° N, 76.7107° W]
UMKC[39.0344° N, 94.5834° W]
UNC-Asheville[35.6162° N, 82.5661° W]
UNCG[36.0689° N, 79.8102° W]
UNCW[34.2239° N, 77.8696° W]
UNLV[36.1075° N, 115.1435° W]
USC[34.0224° N, 118.2851° W]
UTA[32.7292° N, 97.1152° W]
Utah-State[41.7452° N, 111.8097° W]
Utah-Tech[37.1029° N, 113.5654° W]
Utah-Valley[40.2788° N, 111.7154° W]
Utah[40.7649° N, 111.8421° W]
UTEP[31.7732° N, 106.5047° W]
UTRGV[26.3082° N, 98.1740° W]
UTSA[29.5831° N, 98.6199° W]
Valparaiso[41.4639° N, 87.0439° W]
Vanderbilt[36.1447° N, 86.8027° W]
VCU[37.5527° N, 77.4527° W]
Vermont[44.4779° N, 73.1965° W]
Villanova[40.0369° N, 75.3426° W]
Virginia-Tech[37.2284° N, 80.4234° W]
Virginia[38.0336° N, 78.5080° W]
VMI[37.7909° N, 79.4352° W]
Wagner[40.6150° N, 74.0944° W]
Wake-Forest[36.1355° N, 80.2793° W]
Washington-State[46.7298° N, 117.1745° W]
Washington[47.6555° N, 122.3032° W]
Weber-State[41.1913° N, 111.9440° W]
West-Georgia[33.5753° N, 85.1041° W]
West-Virginia[39.6480° N, 79.9697° W]
Western-Carolina[35.3090° N, 83.1864° W]
Western-Illinois[40.4766° N, 90.6844° W]
Western-Kentucky[36.9847° N, 86.4560° W]
Western-Michigan[42.2837° N, 85.6103° W]
Wichita-State[37.7191° N, 97.2899° W]
William-Mary[37.2710° N, 76.7162° W]
Winthrop[34.9394° N, 81.0320° W]
Wisconsin[43.0766° N, 89.4125° W]
Wofford[34.9590° N, 81.9351° W]
Wright-State[39.7799° N, 84.0651° W]
Wyoming[41.3149° N, 105.5666° W]
Xavier[39.1499° N, 84.4741° W]
Yale[41.3163° N, 72.9223° W]
Youngstown-State[41.1066° N, 80.6481° W]
